day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
4,2017,07,06,2017-07-06,61.7,59.9,1021.8,9.9,5.9,8.0,999.9,78.1,53.1,0.0,999.9,0,611
5,2014,07,11,2014-07-11,69.1,62.4,1021.9,6.5,4.3,8.0,999.9,78.1,64.0,0.03,999.9,1,642
1,2013,07,22,2013-07-22,68.3,65.9,1015.1,5.6,5.1,8.0,999.9,78.1,64.0,0.17,999.9,1,591
2,2014,08,19,2014-08-19,63.9,56.9,1012.6,8.8,4.1,8.0,999.9,73.9,54.0,0.01,999.9,1,516
2,2013,05,07,2013-05-07,54.4,49.9,1021.9,4.4,4.5,8.0,999.9,66.9,46.0,0.0,999.9,1,592
4,2015,06,18,2015-06-18,59.1,47.7,1019.3,10.0,3.9,8.0,999.9,66.9,48.9,0.0,999.9,0,615
5,2019,07,05,2019-07-05,66.1,64.7,1021.4,4.7,3.9,8.0,999.9,75.9,59.0,0.0,999.9,1,542
6,2017,09,16,2017-09-16,66.8,65.5,1020.8,4.6,2.8,8.0,999.9,75.9,61.0,0.0,999.9,1,623
6,2013,08,17,2013-08-17,67.3,59.8,1023.8,10.0,3.2,8.0,999.9,75.9,55.9,0.0,999.9,0,504
7,2013,08,18,2013-08-18,64.8,58.4,1023.8,8.4,3.3,8.0,999.9,75.9,55.9,0.01,999.9,1,442
7,2018,09,16,2018-09-16,63.9,59.5,1023.1,6.8,3.7,8.0,999.9,75.9,54.0,0.0,999.9,1,597
1,2020,06,22,2020-06-22,68.6,63.4,1014.7,9.7,3.9,8.0,999.9,75.9,62.1,0.0,999.9,0,295
4,2018,05,17,2018-05-17,54.1,54.1,1016.7,5.3,3.6,8.0,999.9,62.1,50.0,0.32,999.9,1,732
2,2016,11,01,2016-11-01,46.2,37.1,1027.3,10.0,4.4,8.0,999.9,53.1,34.0,0.01,999.9,0,732
3,2020,01,22,2020-01-22,27.1,14.3,1029.8,10.0,4.2,8.9,999.9,34.0,17.1,0.0,999.9,0,489
4,2016,01,28,2016-01-28,35.0,24.4,1016.1,10.0,4.3,8.9,999.9,46.0,23.0,0.09,999.9,0,681
7,2020,04,05,2020-04-05,41.8,36.3,1017.5,10.0,6.0,8.9,999.9,50.0,35.1,0.01,999.9,0,94
2,2020,02,25,2020-02-25,44.0,41.8,1014.5,5.6,5.4,8.9,999.9,50.0,28.9,0.05,999.9,1,527
5,2012,11,23,2012-11-23,48.3,40.8,1016.5,8.9,3.4,8.9,999.9,54.0,39.2,0.0,999.9,1,481
1,2018,11,19,2018-11-19,46.7,41.0,1021.0,10.0,5.0,8.9,999.9,54.0,37.9,0.0,999.9,0,697
3,2013,09,25,2013-09-25,55.3,45.3,1012.3,10.0,4.5,8.9,999.9,64.0,44.1,0.0,999.9,0,539
2,2019,06,18,2019-06-18,60.4,58.8,1015.1,5.7,5.2,8.9,999.9,64.0,55.9,0.02,999.9,1,721
3,2013,06,05,2013-06-05,58.6,45.6,1020.5,9.8,5.7,8.9,999.9,68.0,48.9,0.0,999.9,0,599
4,2016,05,12,2016-05-12,55.2,45.5,1020.0,9.4,4.4,8.9,999.9,68.0,42.1,0.0,999.9,0,744
2,2014,08,26,2014-08-26,63.0,56.0,1021.1,10.0,3.5,8.9,999.9,72.0,53.1,0.0,999.9,0,608
7,2018,09,30,2018-09-30,61.0,53.5,1025.6,9.7,4.7,8.9,999.9,72.0,51.1,0.0,999.9,1,510
5,2019,06,07,2019-06-07,59.8,55.3,1012.6,9.8,4.8,8.9,999.9,72.0,51.1,0.22,999.9,0,734
7,2014,06,29,2014-06-29,64.7,57.9,1024.0,9.5,5.0,8.9,999.9,72.0,55.9,0.01,999.9,0,538
1,2019,09,09,2019-09-09,63.9,58.4,1023.2,9.8,4.5,8.9,999.9,72.0,57.0,0.0,999.9,0,603
2,2019,09,10,2019-09-10,62.8,57.5,1027.3,10.0,6.2,8.9,999.9,72.0,57.0,0.0,999.9,0,605
1,2013,06,10,2013-06-10,62.2,56.1,1021.3,9.3,6.0,8.9,999.9,72.0,53.1,0.0,999.9,0,624
3,2013,07,17,2013-07-17,72.9,65.8,1020.8,9.9,5.6,8.9,999.9,84.0,66.9,0.0,999.9,0,609
4,2012,08,23,2012-08-23,74.7,61.7,1020.4,8.9,2.0,8.9,999.9,84.0,62.6,0.0,999.9,0,574
6,2020,09,26,2020-09-26,63.6,60.9,1020.5,4.5,4.9,8.9,999.9,73.0,59.0,0.0,999.9,1,330
2,2020,06,09,2020-06-09,61.9,55.5,1013.6,10.0,6.5,8.9,999.9,73.0,55.0,0.0,999.9,0,251
4,2016,09,01,2016-09-01,71.5,67.0,1011.2,9.7,6.8,8.9,999.9,77.0,66.9,0.0,999.9,0,675
5,2014,07,25,2014-07-25,67.4,60.8,1013.4,10.0,5.9,8.9,999.9,77.0,61.0,0.0,999.9,0,653
5,2018,07,20,2018-07-20,64.3,56.7,1021.6,10.0,3.3,8.9,999.9,77.0,54.0,0.0,999.9,0,700
1,2012,08,27,2012-08-27,71.9,66.3,1019.7,8.6,2.7,8.9,18.1,81.0,55.4,0.01,999.9,1,548
3,2015,08,19,2015-08-19,73.9,70.1,1018.9,6.3,5.4,8.9,999.9,81.0,69.1,0.0,999.9,1,594
1,2015,08,24,2015-08-24,71.7,69.2,1013.1,3.8,5.4,8.9,999.9,81.0,68.0,0.0,999.9,1,575
1,2014,08,11,2014-08-11,66.3,59.2,1021.1,7.8,3.6,8.9,999.9,81.0,57.0,0.01,999.9,1,604
5,2015,08,14,2015-08-14,70.4,63.5,1020.3,8.6,4.8,8.9,999.9,81.0,62.1,0.0,999.9,0,729
4,2016,07,07,2016-07-07,68.7,66.7,1010.4,4.1,5.9,8.9,999.9,81.0,64.0,0.0,999.9,1,603
2,2018,12,11,2018-12-11,32.0,22.9,1019.5,10.0,4.5,8.9,999.9,43.0,25.0,0.0,999.9,0,707
6,2019,02,23,2019-02-23,34.8,27.7,1030.2,10.0,4.9,8.9,999.9,43.0,30.0,0.0,999.9,0,439
2,2017,05,09,2017-05-09,48.3,34.9,1014.8,10.0,6.2,8.9,999.9,55.0,39.9,0.0,999.9,0,651
3,2019,05,01,2019-05-01,46.9,39.2,1030.0,10.0,4.7,8.9,999.9,55.0,39.9,0.0,999.9,0,599
2,2015,10,27,2015-10-27,46.7,36.2,1034.1,10.0,5.9,8.9,999.9,57.0,36.0,0.0,999.9,0,631
3,2013,11,06,2013-11-06,46.5,41.4,1030.4,10.0,3.7,8.9,999.9,57.0,36.0,0.0,999.9,0,635
1,2013,04,29,2013-04-29,49.7,37.9,1025.5,9.9,4.3,8.9,999.9,59.0,39.9,0.0,999.9,0,598
7,2014,05,25,2014-05-25,53.7,44.4,1018.2,10.0,5.4,8.9,999.9,59.0,48.0,0.0,999.9,0,472
1,2013,05,06,2013-05-06,49.2,43.4,1024.3,5.1,5.5,8.9,999.9,61.0,44.1,0.0,999.9,1,561
3,2016,11,09,2016-11-09,51.6,46.1,1009.9,8.8,4.6,8.9,999.9,61.0,39.0,0.0,999.9,1,541
4,2012,10,25,2012-10-25,58.0,51.3,1023.9,10.0,3.0,8.9,999.9,61.0,43.0,0.0,999.9,0,511
3,2016,10,12,2016-10-12,52.8,46.7,1028.3,10.0,5.2,8.9,999.9,63.0,42.1,0.0,999.9,0,498
4,2019,04,25,2019-04-25,47.7,40.9,1013.3,9.9,5.6,8.9,999.9,66.0,39.9,0.02,999.9,0,518
4,2016,10,06,2016-10-06,57.3,50.9,1025.6,10.0,5.8,8.9,999.9,66.0,48.9,0.0,999.9,0,764
2,2019,08,27,2019-08-27,60.4,54.5,1019.4,10.0,4.7,8.9,999.9,70.0,50.0,0.0,999.9,0,529
6,2015,08,22,2015-08-22,73.9,71.1,1017.2,4.8,6.0,8.9,999.9,82.0,70.0,0.0,999.9,1,581
2,2015,07,21,2015-07-21,72.6,69.7,1003.7,3.6,5.4,8.9,999.9,82.0,68.0,0.0,999.9,1,606
7,2018,06,17,2018-06-17,66.7,56.6,1017.7,10.0,6.0,8.9,999.9,82.0,54.0,0.0,999.9,0,627
6,2018,06,30,2018-06-30,71.1,65.4,1015.8,10.0,5.9,8.9,999.9,82.0,62.1,0.0,999.9,0,651
1,2018,07,16,2018-07-16,68.7,67.9,1015.6,2.6,4.7,8.9,999.9,75.0,61.0,0.0,999.9,1,719
4,2017,08,10,2017-08-10,67.8,66.0,1024.2,8.8,6.0,8.9,999.9,75.0,59.0,0.0,999.9,1,650
4,2017,08,03,2017-08-03,67.5,66.0,1020.6,9.1,5.8,8.9,999.9,75.0,61.0,0.0,999.9,1,713
4,2017,08,17,2017-08-17,68.0,60.8,1016.6,9.1,5.2,8.9,999.9,79.0,62.1,0.0,999.9,0,639
1,2012,07,30,2012-07-30,73.1,65.1,1018.6,10.0,2.2,8.9,999.9,79.0,64.9,0.01,999.9,0,530
6,2019,08,31,2019-08-31,70.3,60.1,1020.7,9.1,5.3,8.9,999.9,79.0,57.9,0.0,999.9,1,502
2,2019,07,16,2019-07-16,70.3,65.9,1017.6,8.7,5.3,8.9,999.9,79.0,60.1,0.0,999.9,1,658
2,2017,08,15,2017-08-15,67.8,66.8,1014.6,4.3,4.0,8.9,999.9,79.0,61.0,0.0,999.9,1,577
4,2015,08,13,2015-08-13,71.1,65.8,1014.7,8.4,5.2,8.9,999.9,79.0,63.0,0.0,999.9,1,714
7,2018,09,02,2018-09-02,67.0,64.0,1024.9,10.0,5.0,8.9,999.9,79.0,55.9,0.0,999.9,0,528
3,2016,02,10,2016-02-10,33.5,28.0,1002.2,9.1,4.2,8.9,999.9,37.9,28.0,0.0,999.9,0,537
1,2016,01,25,2016-01-25,33.5,21.2,1021.4,10.0,6.5,8.9,999.9,37.9,30.0,0.02,999.9,0,658
6,2019,12,21,2019-12-21,33.3,25.6,1035.1,10.0,5.2,8.9,999.9,39.9,19.9,0.0,999.9,0,520
5,2020,01,31,2020-01-31,29.8,22.3,1027.4,10.0,3.3,8.9,999.9,39.9,19.0,0.0,999.9,0,518
5,2017,04,14,2017-04-14,47.5,34.1,1027.8,10.0,5.0,8.9,999.9,57.9,37.9,0.0,999.9,0,515
2,2014,04,22,2014-04-22,49.5,43.2,1007.7,10.0,5.6,8.9,999.9,57.9,34.0,0.0,999.9,0,459
6,2015,07,25,2015-07-25,68.5,60.2,1015.0,9.7,4.4,8.9,999.9,80.1,60.1,0.0,999.9,0,451
3,2019,07,03,2019-07-03,70.2,65.1,1009.9,9.2,5.0,8.9,999.9,80.1,59.0,0.0,999.9,0,654
4,2019,07,04,2019-07-04,66.6,63.7,1017.9,6.3,3.7,8.9,999.9,80.1,59.0,0.0,999.9,1,394
2,2016,08,09,2016-08-09,71.5,64.7,1021.5,10.0,6.6,8.9,27.0,80.1,62.1,0.0,999.9,0,650
1,2020,08,24,2020-08-24,71.7,70.0,1016.1,2.3,5.9,8.9,999.9,80.1,66.0,0.0,999.9,1,320
3,2020,05,27,2020-05-27,57.4,56.2,1024.4,2.0,5.6,8.9,999.9,69.1,53.1,0.0,999.9,1,239
2,2018,05,22,2018-05-22,54.6,49.5,1021.1,10.0,7.0,8.9,999.9,69.1,48.0,0.0,999.9,0,689
7,2019,06,09,2019-06-09,57.7,43.7,1026.7,10.0,5.3,8.9,999.9,69.1,45.0,0.0,999.9,0,526
5,2019,07,26,2019-07-26,67.1,58.9,1024.0,9.4,3.4,8.9,999.9,78.1,59.0,0.0,999.9,1,650
6,2014,08,09,2014-08-09,70.4,61.3,1017.2,9.9,6.4,8.9,999.9,78.1,60.1,0.0,999.9,0,538
3,2014,08,06,2014-08-06,70.1,65.7,1010.1,4.4,4.3,8.9,999.9,78.1,66.0,0.01,999.9,1,562
3,2013,07,31,2013-07-31,70.6,62.6,1019.3,10.0,6.7,8.9,999.9,78.1,64.9,0.0,999.9,0,553
2,2017,07,18,2017-07-18,69.4,67.9,1019.6,4.0,5.5,8.9,999.9,78.1,62.1,0.0,999.9,1,706
5,2013,10,04,2013-10-04,62.8,57.5,1017.7,9.3,5.2,8.9,999.9,71.1,53.6,0.01,999.9,1,658
4,2020,06,18,2020-06-18,59.8,59.4,1023.3,3.7,4.8,8.9,999.9,71.1,53.1,0.0,999.9,1,226
7,2016,06,26,2016-06-26,60.8,49.4,1023.3,10.0,5.7,8.9,999.9,71.1,50.0,0.0,999.9,0,582
1,2020,11,09,2020-11-09,54.8,51.0,1026.6,6.6,5.2,8.9,999.9,71.1,46.0,0.0,999.9,1,318
5,2013,09,20,2013-09-20,62.6,58.5,1018.4,9.5,6.2,8.9,999.9,71.1,53.6,0.01,999.9,0,631
5,2018,08,17,2018-08-17,74.9,72.1,1018.0,6.3,5.1,8.9,999.9,87.1,66.0,0.0,999.9,1,703
7,2015,03,01,2015-03-01,23.1,14.2,1037.5,9.1,5.1,8.9,999.9,30.9,10.0,0.0,999.9,0,693
5,2018,06,01,2018-06-01,58.6,58.4,1012.6,4.8,6.2,8.9,999.9,64.9,51.1,0.13,999.9,1,751
1,2016,09,26,2016-09-26,55.2,41.1,1021.6,10.0,5.3,8.9,999.9,64.9,44.1,0.0,999.9,0,623
2,2013,08,06,2013-08-06,66.2,54.5,1019.1,10.0,5.3,8.9,999.9,73.9,55.9,0.0,999.9,0,543
5,2014,08,01,2014-08-01,67.5,62.9,1023.5,9.0,5.3,8.9,999.9,73.9,59.0,0.01,999.9,0,667
4,2019,06,27,2019-06-27,61.4,60.1,1019.2,5.6,4.2,8.9,999.9,73.9,57.0,0.13,999.9,1,734
1,2017,07,31,2017-07-31,63.9,57.3,1017.8,10.0,4.2,8.9,999.9,73.9,50.0,0.0,999.9,0,656
6,2017,08,26,2017-08-26,64.1,56.8,1023.0,9.9,3.7,8.9,999.9,73.9,54.0,0.0,999.9,0,570
7,2014,06,08,2014-06-08,69.5,56.4,9999.9,10.0,4.1,8.9,11.1,82.4,53.6,99.99,999.9,0,516
2,2014,06,10,2014-06-10,63.8,60.7,1015.8,8.7,5.6,8.9,999.9,66.9,61.0,0.03,999.9,0,569
6,2017,10,14,2017-10-14,62.4,62.0,1026.6,6.7,5.5,8.9,999.9,66.9,52.0,0.0,999.9,0,567
2,2013,10,22,2013-10-22,59.1,52.4,1012.5,10.0,6.1,8.9,999.9,66.9,39.9,0.0,999.9,0,540
7,2017,10,22,2017-10-22,60.6,59.2,1028.8,10.0,6.9,8.9,999.9,66.9,46.9,0.0,999.9,0,528
6,2017,09,02,2017-09-02,58.7,45.2,1022.4,10.0,5.3,8.9,999.9,66.9,50.0,0.0,999.9,0,562
2,2016,08,30,2016-08-30,67.7,59.2,1020.0,10.0,6.1,8.9,999.9,82.9,59.0,0.0,999.9,0,622
7,2012,08,26,2012-08-26,73.9,62.4,1025.2,10.0,4.6,8.9,15.0,82.9,60.8,0.0,999.9,0,471
5,2019,08,02,2019-08-02,71.6,64.1,1019.8,7.4,4.7,8.9,999.9,82.9,60.1,0.0,999.9,1,610
6,2019,07,27,2019-07-27,67.1,58.1,1025.2,10.0,4.9,8.9,999.9,75.9,55.9,0.0,999.9,0,602
7,2020,06,21,2020-06-21,65.2,62.5,1016.7,5.8,6.3,8.9,999.9,75.9,60.1,0.0,999.9,1,245
4,2013,10,03,2013-10-03,65.8,56.3,1016.4,10.0,6.5,8.9,999.9,75.9,59.0,0.0,999.9,0,590
6,2020,08,08,2020-08-08,69.7,66.4,1020.6,5.1,6.1,8.9,999.9,75.9,63.0,0.0,999.9,1,260
4,2015,09,17,2015-09-17,69.3,65.6,1020.7,7.8,5.9,8.9,999.9,75.9,48.9,0.0,999.9,1,744
7,2017,09,17,2017-09-17,64.7,64.2,1021.4,4.8,3.4,8.9,999.9,75.9,60.1,0.0,999.9,1,586
5,2018,08,24,2018-08-24,67.1,61.5,1021.1,10.0,4.7,8.9,999.9,75.9,55.0,0.0,999.9,0,681
5,2014,01,17,2014-01-17,38.6,35.8,1014.8,6.7,3.7,8.9,999.9,44.1,32.0,0.0,999.9,1,589
3,2019,03,20,2019-03-20,36.9,27.1,1029.5,10.0,6.7,8.9,999.9,44.1,24.1,0.0,999.9,0,584
2,2020,01,14,2020-01-14,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0,497
6,2018,12,01,2018-12-01,38.3,31.9,1020.3,9.9,5.7,8.9,999.9,44.1,33.1,0.0,999.9,0,601
6,2020,11,28,2020-11-28,50.6,44.4,1013.2,8.7,4.3,8.9,999.9,62.1,43.0,0.0,999.9,1,239
1,2013,10,14,2013-10-14,51.5,44.0,1027.0,10.0,4.6,8.9,999.9,62.1,41.0,0.0,999.9,0,440
2,2014,03,25,2014-03-25,26.5,10.5,1019.8,10.0,4.1,8.9,999.9,35.1,15.1,0.0,999.9,0,474
3,2015,11,18,2015-11-18,42.9,33.8,1034.9,10.0,3.2,8.9,999.9,51.1,30.9,0.0,999.9,0,628
7,2014,12,21,2014-12-21,41.4,34.0,1024.2,9.8,7.1,9.9,999.9,46.0,36.0,0.06,999.9,0,409
4,2013,11,21,2013-11-21,39.0,26.7,1035.0,10.0,4.9,9.9,999.9,48.0,30.9,0.0,999.9,0,628
2,2019,02,05,2019-02-05,43.0,42.1,1014.2,3.0,4.8,9.9,999.9,50.0,34.0,0.0,999.9,1,570
5,2017,11,24,2017-11-24,40.8,30.7,1016.1,10.0,6.9,9.9,999.9,50.0,33.1,0.0,999.9,0,502
5,2019,10,25,2019-10-25,55.9,51.1,1025.2,9.6,6.0,9.9,999.9,64.0,43.0,0.0,999.9,1,647
2,2020,10,20,2020-10-20,59.7,57.6,1025.5,8.0,7.2,9.9,999.9,64.0,54.0,0.0,999.9,1,336
1,2014,06,09,2014-06-09,61.2,57.0,1015.2,7.1,5.6,9.9,999.9,68.0,55.0,0.0,999.9,1,528
3,2014,05,21,2014-05-21,56.3,47.6,1014.9,10.0,6.0,9.9,999.9,68.0,45.0,0.0,999.9,0,575
3,2013,08,28,2013-08-28,66.4,64.6,1012.0,3.9,6.8,9.9,999.9,72.0,62.6,0.67,999.9,1,482
4,2014,06,19,2014-06-19,67.3,61.5,1013.6,9.7,6.5,9.9,999.9,72.0,63.7,0.0,999.9,0,675
1,2012,07,09,2012-07-09,78.5,56.8,1012.7,10.0,3.5,9.9,999.9,84.0,68.0,0.09,999.9,0,533
1,2014,06,23,2014-06-23,62.1,50.3,1019.7,10.0,4.1,9.9,999.9,73.0,52.0,0.0,999.9,0,644
3,2012,10,03,2012-10-03,65.6,64.3,1016.6,1.5,3.5,9.9,999.9,73.0,62.6,0.45,999.9,1,502
3,2020,07,01,2020-07-01,64.4,61.5,1011.7,6.0,4.7,9.9,999.9,73.0,60.1,0.0,999.9,1,259
5,2015,07,17,2015-07-17,64.9,57.6,1019.1,10.0,6.0,9.9,999.9,73.0,54.0,0.0,999.9,0,659
7,2017,08,27,2017-08-27,62.3,53.6,1024.6,10.0,5.0,9.9,999.9,73.0,50.0,0.0,999.9,0,498
1,2019,09,02,2019-09-02,64.9,60.9,1021.2,10.0,6.4,9.9,999.9,73.0,55.9,0.0,999.9,0,427
4,2020,09,17,2020-09-17,68.5,63.7,1018.3,10.0,7.5,9.9,999.9,73.0,64.9,0.0,999.9,0,322
4,2018,07,19,2018-07-19,67.9,57.5,1016.8,10.0,6.3,9.9,999.9,77.0,59.0,0.0,999.9,0,739
4,2016,06,30,2016-06-30,68.9,63.6,1014.4,5.9,6.4,9.9,999.9,77.0,63.0,0.0,999.9,1,761
5,2018,07,13,2018-07-13,64.8,55.1,1024.2,10.0,5.0,9.9,999.9,77.0,54.0,0.0,999.9,0,726
4,2015,09,10,2015-09-10,73.8,71.2,1011.3,5.6,5.6,9.9,999.9,77.0,71.6,99.99,999.9,1,716
2,2019,08,06,2019-08-06,68.9,65.5,1013.4,9.8,7.2,9.9,999.9,77.0,63.0,0.0,999.9,0,551
2,2014,09,02,2014-09-02,71.1,69.4,1013.1,1.7,6.8,9.9,999.9,77.0,68.0,0.01,999.9,1,700
3,2017,09,27,2017-09-27,68.7,68.6,1014.0,1.5,4.7,9.9,999.9,77.0,62.1,0.0,999.9,1,696
5,2015,09,18,2015-09-18,70.1,66.5,1017.8,7.9,6.4,9.9,999.9,77.0,48.9,0.0,999.9,1,760
